Year,state,Population
1978,Utah,1307000
1979,Utah,1367000
1980,Utah,1458729
1981,Utah,1516000
1982,Utah,1554000
1983,Utah,1619000
1984,Utah,1652000
1985,Utah,1645000
1986,Utah,1665000
1987,Utah,1680000
1988,Utah,1691000
1989,Utah,1707000
1990,Utah,1722850
1991,Utah,1770000
1992,Utah,1813000
1993,Utah,1860000
1994,Utah,1908000
1995,Utah,1951000
1996,Utah,2000000
1997,Utah,2059000
1998,Utah,2100000
1999,Utah,2129836
2000,Utah,2233169
2001,Utah,2278712
2002,Utah,2318789
2003,Utah,2352119
2004,Utah,2420708
2005,Utah,2490334
2006,Utah,2550063
2007,Utah,2643330
2008,Utah,2727343
2009,Utah,2784572
2010,Utah,2775479
2011,Utah,2814347
2012,Utah,2855287
1960,Vermont,389881
1961,Vermont,395000
1962,Vermont,390000
1963,Vermont,390000
1964,Vermont,409000
1965,Vermont,397000
1966,Vermont,405000
1967,Vermont,417000
1968,Vermont,422000
1969,Vermont,439000
1970,Vermont,444732
1971,Vermont,458000
1972,Vermont,462000
1973,Vermont,464000
1974,Vermont,470000
1975,Vermont,471000
1976,Vermont,476000
1977,Vermont,483000
1978,Vermont,487000
1979,Vermont,493000
1980,Vermont,511299
1981,Vermont,515000
1982,Vermont,516000
1983,Vermont,525000
1984,Vermont,530000
1985,Vermont,535000
1986,Vermont,541000
1987,Vermont,548000
1988,Vermont,556000
1989,Vermont,567000
1990,Vermont,562758
1991,Vermont,567000
1992,Vermont,570000
1993,Vermont,576000
1994,Vermont,580000
1995,Vermont,585000
1996,Vermont,589000
1997,Vermont,589000
1998,Vermont,591000
1999,Vermont,593740
2000,Vermont,608827
2001,Vermont,612978
2002,Vermont,616408
2003,Vermont,619343
2004,Vermont,621233
2005,Vermont,622387
2006,Vermont,623908
2007,Vermont,621254
2008,Vermont,621049
2009,Vermont,621760
2010,Vermont,625909
2011,Vermont,626592
2012,Vermont,626011
1960,Virginia,3966949
1961,Virginia,4059000
1962,Virginia,4177000
1963,Virginia,4331000
1964,Virginia,4378000
1965,Virginia,4457000
1966,Virginia,4507000
1967,Virginia,4536000
1968,Virginia,4597000
1969,Virginia,4669000
1970,Virginia,4648494
1971,Virginia,4714000
1972,Virginia,4764000
1973,Virginia,4811000
1974,Virginia,4908000
1975,Virginia,4967000
1976,Virginia,5032000
1977,Virginia,5135000
1978,Virginia,5148000
1979,Virginia,5197000
1980,Virginia,5323412
1981,Virginia,5426000
1982,Virginia,5491000
1983,Virginia,5550000
1984,Virginia,5636000
1985,Virginia,5706000
1986,Virginia,5787000
1987,Virginia,5904000
1988,Virginia,5996000
1989,Virginia,6098000
1990,Virginia,6187358
1991,Virginia,6286000
1992,Virginia,6377000
1993,Virginia,6491000
1994,Virginia,6552000
1995,Virginia,6618000
1996,Virginia,6675000
1997,Virginia,6734000
1998,Virginia,6791000
1999,Virginia,6872912
2000,Virginia,7078515
2001,Virginia,7196750
2002,Virginia,7287829
2003,Virginia,7365284
2004,Virginia,7481332
2005,Virginia,7564327
2006,Virginia,7642884
2007,Virginia,7712091
2008,Virginia,7795424
2009,Virginia,7882590
2010,Virginia,8023953
2011,Virginia,8104384
2012,Virginia,8185867
1960,Washington,2853214
1961,Washington,2902000
1962,Washington,3006000
1963,Washington,3050000
1964,Washington,2984000
1965,Washington,2990000
1966,Washington,2980000
1967,Washington,3087000
1968,Washington,3276000
1969,Washington,3402000
1970,Washington,3409169
1971,Washington,3449000
1972,Washington,3443000
1973,Washington,3429000
1974,Washington,3476000
1975,Washington,3544000
1976,Washington,3612000
1977,Washington,3658000
1978,Washington,3774000
1979,Washington,3926000
1980,Washington,4113331
1981,Washington,4212000
1982,Washington,4245000
1983,Washington,4300000
1984,Washington,4349000
1985,Washington,4409000
1986,Washington,4463000
1987,Washington,4538000
1988,Washington,4619000
1989,Washington,4761000
1990,Washington,4866692
1991,Washington,5018000
1992,Washington,5136000
1993,Washington,5255000
1994,Washington,5343000
1995,Washington,5431000
1996,Washington,5533000
1997,Washington,5610000
1998,Washington,5689000
1999,Washington,5756361
2000,Washington,5894121
2001,Washington,5993390
2002,Washington,6067060
2003,Washington,6131298
2004,Washington,6207046
2005,Washington,6291899
2006,Washington,6396798
2007,Washington,6468424
2008,Washington,6566073
2009,Washington,6664195
2010,Washington,6742950
2011,Washington,6823267
2012,Washington,6897012
1960,Washington D. C.,763956
1961,Washington D. C.,763956
1962,Washington D. C.,784000
1963,Washington D. C.,798000
1964,Washington D. C.,808000
1965,Washington D. C.,803000
1966,Washington D. C.,808000
1967,Washington D. C.,809000
1968,Washington D. C.,809000
1969,Washington D. C.,798000
1970,Washington D. C.,756510
1971,Washington D. C.,741000
1972,Washington D. C.,748000
1973,Washington D. C.,746000
1974,Washington D. C.,723000
1975,Washington D. C.,716000
1976,Washington D. C.,702000
1977,Washington D. C.,690000
1978,Washington D. C.,674000
1979,Washington D. C.,656000
1980,Washington D. C.,635233
1981,Washington D. C.,636000
1982,Washington D. C.,631000
1983,Washington D. C.,623000
1984,Washington D. C.,623000
1985,Washington D. C.,626000
1986,Washington D. C.,626000
1987,Washington D. C.,622000
1988,Washington D. C.,620000
1989,Washington D. C.,604000
1990,Washington D. C.,606900
1991,Washington D. C.,598000
1992,Washington D. C.,589000
1993,Washington D. C.,578000
1994,Washington D. C.,570000
1995,Washington D. C.,554000
1996,Washington D. C.,543000
1997,Washington D. C.,529000
1998,Washington D. C.,523000
1999,Washington D. C.,519000
2000,Washington D. C.,572059
2001,Washington D. C.,573822
2002,Washington D. C.,569157
2003,Washington D. C.,557620
2004,Washington D. C.,554239
2005,Washington D. C.,582049
2006,Washington D. C.,581530
2007,Washington D. C.,588292
2008,Washington D. C.,590074
2009,Washington D. C.,599657
2010,Washington D. C.,604912
2011,Washington D. C.,619020
2012,Washington D. C.,632323
1960,West Virginia,1860421
1961,West Virginia,1850000
1962,West Virginia,1773000
1963,West Virginia,1778000
1964,West Virginia,1797000
1965,West Virginia,1812000
1966,West Virginia,1794000
1967,West Virginia,1798000
1968,West Virginia,1805000
1969,West Virginia,1819000
1970,West Virginia,1744237
1971,West Virginia,1752000
1972,West Virginia,1781000
1973,West Virginia,1794000
1974,West Virginia,1791000
1975,West Virginia,1803000
1976,West Virginia,1821000
1977,West Virginia,1859000
1978,West Virginia,1860000
1979,West Virginia,1878000
1980,West Virginia,1930787
1981,West Virginia,1951000
1982,West Virginia,1948000
1983,West Virginia,1965000
1984,West Virginia,1952000
1985,West Virginia,1936000
1986,West Virginia,1919000
1987,West Virginia,1897000
1988,West Virginia,1884000
1989,West Virginia,1857000
1990,West Virginia,1793477
1991,West Virginia,1801000
1992,West Virginia,1812000
1993,West Virginia,1820000
1994,West Virginia,1822000
1995,West Virginia,1828000
1996,West Virginia,1826000
1997,West Virginia,1816000
1998,West Virginia,1811000
1999,West Virginia,1806928
2000,West Virginia,1808344
2001,West Virginia,1800975
2002,West Virginia,1804884
2003,West Virginia,1811440
2004,West Virginia,1812548
2005,West Virginia,1814083
2006,West Virginia,1818470
2007,West Virginia,1812035
2008,West Virginia,1814873
2009,West Virginia,1819777
2010,West Virginia,1854368
2011,West Virginia,1854908
2012,West Virginia,1855413
1960,Wisconsin,3951777
1961,Wisconsin,4022000
1962,Wisconsin,4092000
1963,Wisconsin,4061000
1964,Wisconsin,4107000
1965,Wisconsin,4144000
1966,Wisconsin,4161000
1967,Wisconsin,4189000
1968,Wisconsin,4213000
1969,Wisconsin,4233000
1970,Wisconsin,4417933
1971,Wisconsin,4476000
1972,Wisconsin,4520000
1973,Wisconsin,4569000
1974,Wisconsin,4566000
1975,Wisconsin,4607000
1976,Wisconsin,4609000
1977,Wisconsin,4651000
1978,Wisconsin,4679000
1979,Wisconsin,4720000
1980,Wisconsin,4680917
1981,Wisconsin,4739000
1982,Wisconsin,4765000
1983,Wisconsin,4751000
1984,Wisconsin,4766000
1985,Wisconsin,4775000
1986,Wisconsin,4785000
1987,Wisconsin,4807000
1988,Wisconsin,4858000
1989,Wisconsin,4867000
1990,Wisconsin,4891769
1991,Wisconsin,4955000
1992,Wisconsin,5007000
1993,Wisconsin,5038000
1994,Wisconsin,5082000
1995,Wisconsin,5123000
1996,Wisconsin,5160000
1997,Wisconsin,5170000
1998,Wisconsin,5224000
1999,Wisconsin,5250446
2000,Wisconsin,5363675
2001,Wisconsin,5405947
2002,Wisconsin,5439692
2003,Wisconsin,5474290
2004,Wisconsin,5503533
2005,Wisconsin,5527644
2006,Wisconsin,5556506
2007,Wisconsin,5601604
2008,Wisconsin,5627610
2009,Wisconsin,5654774
2010,Wisconsin,5691659
2011,Wisconsin,5709843
2012,Wisconsin,5726398
1960,Wyoming,330066
1961,Wyoming,338000
1962,Wyoming,365000
1963,Wyoming,337000
1964,Wyoming,343000
1965,Wyoming,340000
1966,Wyoming,329000
1967,Wyoming,315000
1968,Wyoming,315000
1969,Wyoming,320000
1970,Wyoming,332416
1971,Wyoming,340000
1972,Wyoming,345000
1973,Wyoming,353000
1974,Wyoming,359000
1975,Wyoming,374000
1976,Wyoming,390000
1977,Wyoming,406000
1978,Wyoming,424000
1979,Wyoming,450000
1980,Wyoming,468954
1981,Wyoming,492000
1982,Wyoming,502000
1983,Wyoming,514000
1984,Wyoming,511000
1985,Wyoming,509000
1986,Wyoming,507000
1987,Wyoming,490000
1988,Wyoming,471000
1989,Wyoming,475000
1990,Wyoming,453588
1991,Wyoming,460000
1992,Wyoming,466000
1993,Wyoming,470000
1994,Wyoming,476000
1995,Wyoming,480000
1996,Wyoming,481000
1997,Wyoming,480000
1998,Wyoming,481000
1999,Wyoming,479602
2000,Wyoming,493782
2001,Wyoming,493754
2002,Wyoming,498830
2003,Wyoming,502111
2004,Wyoming,505887
2005,Wyoming,508798
2006,Wyoming,515004
2007,Wyoming,522830
2008,Wyoming,532981
2009,Wyoming,544270
2010,Wyoming,564554
2011,Wyoming,567356
2012,Wyoming,576412
